Time,Latitude,Longitude,Altitude,Easting,Northing,Zone,Letter
64397,42.33817833333333,8.760656666666666,10.6,480283.4476510156,4687352.624154683,32,T
64397,42.33817833333333,8.760656666666666,10.6,480283.4476510156,4687352.624154683,32,T
64397,42.33817833333333,8.760656666666666,10.6,480283.4476510156,4687352.624154683,32,T
64398,42.338186666666665,8.760638333333333,10.5,480281.9399959156,4687353.553699868,32,T
64398,42.338186666666665,8.760638333333333,10.5,480281.9399959156,4687353.553699868,32,T
64398,42.338186666666665,8.760638333333333,10.5,480281.9399959156,4687353.553699868,32,T
64398,42.338186666666665,8.760638333333333,10.5,480281.9399959156,4687353.553699868,32,T
64398,42.338186666666665,8.760638333333333,10.5,480281.9399959156,4687353.553699868,32,T
64398,42.338186666666665,8.760638333333333,10.5,480281.9399959156,4687353.553699868,32,T
64399,42.338195,8.760621666666667,10.7,480280.5696374112,4687354.4828590425,32,T
64399,42.338195,8.760621666666667,10.7,480280.5696374112,4687354.4828590425,32,T
64399,42.338195,8.760621666666667,10.7,480280.5696374112,4687354.4828590425,32,T
64400,42.33820166666667,8.760606666666666,11.0,480279.3360546869,4687355.2265729355,32,T
64400,42.33820166666667,8.760606666666666,11.0,480279.3360546869,4687355.2265729355,32,T
64400,42.33820166666667,8.760606666666666,11.0,480279.3360546869,4687355.2265729355,32,T
64401,42.33821,8.76059,11.0,480277.9656968558,4687356.155732622,32,T
64401,42.33821,8.76059,11.0,480277.9656968558,4687356.155732622,32,T
64401,42.33821,8.76059,11.0,480277.9656968558,4687356.155732622,32,T
64402,42.33821833333333,8.760571666666667,10.6,480276.45804323757,4687357.085278996,32,T
64402,42.33821833333333,8.760571666666667,10.6,480276.45804323757,4687357.085278996,32,T
64402,42.33821833333333,8.760571666666667,10.6,480276.45804323757,4687357.085278996,32,T
64403,42.33822333333333,8.760553333333334,10.6,480274.94934825314,4687357.644707314,32,T
64403,42.33822333333333,8.760553333333334,10.6,480274.94934825314,4687357.644707314,32,T
64403,42.33822333333333,8.760553333333334,10.6,480274.94934825314,4687357.644707314,32,T
64403,42.33822333333333,8.760553333333334,10.6,480274.94934825314,4687357.644707314,32,T
64403,42.33822333333333,8.760553333333334,10.6,480274.94934825314,4687357.644707314,32,T
64403,42.33822333333333,8.760553333333334,10.6,480274.94934825314,4687357.644707314,32,T
64404,42.338225,8.760541666666667,9.8,480273.9887961967,4687357.832471691,32,T
64404,42.338225,8.760541666666667,9.8,480273.9887961967,4687357.832471691,32,T
64404,42.338225,8.760541666666667,9.8,480273.9887961967,4687357.832471691,32,T
