Time,Latitude,Longitude,Altitude,Easting,Northing,Zone,Letter
5787,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5787,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5787,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5788,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5788,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5788,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5789,42.33396166666667,8.768238333333333,32.0,480906.732724674,4686882.695247758,32,T
5789,42.33396166666667,8.768238333333333,32.0,480906.732724674,4686882.695247758,32,T
5789,42.33396166666667,8.768238333333333,32.0,480906.732724674,4686882.695247758,32,T
5790,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5790,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5790,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5791,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5791,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5791,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5791,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5791,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5791,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5792,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5792,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5792,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5793,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5793,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5793,42.33396166666667,8.768236666666667,32.0,480906.5954192716,4686882.695621797,32,T
5794,42.33396166666667,8.768236666666667,32.1,480906.5954192716,4686882.695621797,32,T
5794,42.33396166666667,8.768236666666667,32.1,480906.5954192716,4686882.695621797,32,T
5794,42.33396166666667,8.768236666666667,32.1,480906.5954192716,4686882.695621797,32,T
5795,42.33396,8.768235,32.1,480906.4576097399,4686882.510936791,32,T
5795,42.33396,8.768235,32.1,480906.4576097399,4686882.510936791,32,T
5795,42.33396,8.768235,32.1,480906.4576097399,4686882.510936791,32,T
5796,42.33396,8.768235,32.1,480906.4576097399,4686882.510936791,32,T
5796,42.33396,8.768235,32.1,480906.4576097399,4686882.510936791,32,T
